TÍTULO,USO QUE AMPARA EL TÍTULO,TITULAR,FECHA DE REGISTRO,AUTORIDAD QUE EMITE EL ACTO
810168,PECUARIO,"GRUPO PECUARIO SAN ANTONIO, S.A. DE C.V.",2021-02-18,ORGANISMO DE CUENCA FRONTERA SUR
810169,AGR͍COLA,MONTE BONITO Y ALEGRE DE MENDOZA SC DE RL DE CV,2020-08-28,ORGANISMO DE CUENCA FRONTERA SUR
810170,DIFERENTES USOS,ANA MIREYA CERVERA AVILA,2020-07-06,DIRECCIÓN LOCAL CAMPECHE
810171,AGR͍COLA,JOSE ELIAS JUVENAL FUENTES PEGUERO,2021-06-17,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810173,AGR͍COLA,"GANADERA BELPA, S.P.R. DE R.I.",2020-03-30,ORGANISMO DE CUENCA PACÍFICO NORTE
810176,AGR͍COLA,JESUS ARMANDO GONZALEZ,2019-04-26,OFICINAS CENTRALES
810178,AGR͍COLA,FIDEL MORALES JIMENEZ,2019-06-25,ORGANISMO DE CUENCA FRONTERA SUR
810180,AGR͍COLA,BALDEMAR VAZQUEZ HERNANDEZ,2019-06-25,ORGANISMO DE CUENCA FRONTERA SUR
810192,DIFERENTES USOS,INOCENCIA GALVAN VARGAS,2021-04-27,DIRECCIÓN LOCAL COLIMA
810195,AGR͍COLA,"JOSE DANIEL ESPITIA ESPINOZA, MANUEL SALVADOR ESPITIA ESPINOZA",2020-07-22,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810196,INDUSTRIAL,PRODUCTOS ALIMENTICIOS LA MODERNA SA DE CV,2019-05-28,ORGANISMO DE CUENCA RÍO BRAVO
810197,AGR͍COLA,MANUELA MOLINA JAQUEZ,2019-10-17,DIRECCIÓN LOCAL CHIHUAHUA
810199,AGR͍COLA,PETER FEHR PETERS,2020-02-27,DIRECCIÓN LOCAL CHIHUAHUA
810203,AGR͍COLA,MARCO ANTONIO BORUNDA GUERRERO,2020-09-18,DIRECCIÓN LOCAL CHIHUAHUA
810204,AGR͍COLA,DAVID MORENO ROJAS,2019-07-31,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810205,AGR͍COLA,JOSE ANTONIO GONZALEZ PIÑUELA,2020-06-19,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810206,AGR͍COLA,"JUAN CARLOS TERAN DOMINGUEZ, MIRIAM LIZBETH BLANCO JUAREZ, FRANCISCO JAVIER TERAN DOMINGUEZ, LEONEL RAMIRO TERAN DOMINGUEZ, MARIA AUXILIADORA LOPEZ YANEZ, GUADALUPE LOZANO GARCIA",2020-04-09,DIRECCIÓN LOCAL CHIHUAHUA
810207,PECUARIO,UNION GANADERA REGIONAL DE PORCICULTORES DE GUANAJUATO,2020-04-27,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810209,AGR͍COLA,FRANZ BANMAN ENNS,2019-09-26,DIRECCIÓN LOCAL CHIHUAHUA
810215,AGR͍COLA,ARNULFO TEJEDA TAPIA,2020-12-15,DIRECCIÓN LOCAL PUEBLA
810216,AGR͍COLA,MARIA DE LOURDES GARCIA ARVIZO,2019-05-13,DIRECCIÓN LOCAL CHIHUAHUA
810220,DIFERENTES USOS,BALDEMAR TAMEZ GONZALEZ,2020-04-27,ORGANISMO DE CUENCA GOLFO NORTE
810223,AGR͍COLA,JESUS ALFONSO LOPEZ JUAREZ,2020-04-23,ORGANISMO DE CUENCA GOLFO NORTE
810225,AGR͍COLA,EULOGIO CASTRO GOMEZ,2020-12-08,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810226,DIFERENTES USOS,ABDIES PINEDA MORIN,2020-04-24,ORGANISMO DE CUENCA GOLFO NORTE
810227,AGR͍COLA,ADRIAN OSUNA MORALES,2020-04-24,ORGANISMO DE CUENCA GOLFO NORTE
810230,INDUSTRIAL,PROMOTORA DE LA INDUSTRIA CHIHUAHUENSE,2019-10-28,DIRECCIÓN LOCAL CHIHUAHUA
810232,AGR͍COLA,JOSE SALVADOR HINOJOS LOERA,2020-06-30,DIRECCIÓN LOCAL CHIHUAHUA
810236,AGR͍COLA,JOHAN WOLF PENNER,2019-12-20,DIRECCIÓN LOCAL CHIHUAHUA
810239,AGR͍COLA,HEINRICH HIEBERT WALL,2019-10-08,DIRECCIÓN LOCAL CHIHUAHUA
810241,AGR͍COLA,HEINRICH WALL GOERTZEN,2020-03-25,DIRECCIÓN LOCAL CHIHUAHUA
810243,AGR͍COLA,HECTOR COSS PONCE,2019-09-23,DIRECCIÓN LOCAL CHIHUAHUA
810245,AGR͍COLA,ALFREDO ISLAS ORTIZ,2020-07-13,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810247,AGR͍COLA,MAURICIO CASTILLO VILLALOBOS,2020-10-26,DIRECCIÓN LOCAL CHIHUAHUA
810250,AGR͍COLA,GUSTAVO ARTURO NIETO IRABIEN,2019-08-28,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810251,AGR͍COLA,AGRO GONZALEZ S.P.R. DE R.L.,2020-03-11,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810252,AGR͍COLA,PETER LOEWEN GIESBRECHT,2020-03-13,DIRECCIÓN LOCAL CHIHUAHUA
810253,AGR͍COLA,FERNANDO VILLALOBOS,2021-02-04,ORGANISMO DE CUENCA BALSAS
810256,AGR͍COLA,"MAYDORENA CARRILLO VIZCARRA, ELEOCUNDA CARRILLO VIZCARRA, FRANCISCO JAVIER CARRILLO VIZCARRA, MARIA DEL ROSARIO CARRILLO VIZCARRA",2020-06-05,DIRECCIÓN LOCAL CHIHUAHUA
810262,AGR͍COLA,FREDY JIMENEZ VAZQUEZ,2019-12-13,ORGANISMO DE CUENCA FRONTERA SUR
810264,AGR͍COLA,"EL CIRICOTE MAYA, S.C. DE R.L. DE C.V.",2020-04-24,DIRECCIÓN LOCAL CAMPECHE
810265,AGR͍COLA,JUAN CARLOS FRANCO HERNANDEZ,2019-06-25,ORGANISMO DE CUENCA GOLFO NORTE
810269,AGR͍COLA,ESPERANZA COTA RODRIGUEZ,2019-06-26,ORGANISMO DE CUENCA PACÍFICO NORTE
810270,AGR͍COLA,YENI DE LOURDES VAZQUEZ MORALES,2020-08-05,ORGANISMO DE CUENCA FRONTERA SUR
810271,ACUACULTURA,"ACUICOLA CARESA, S.C. DE R.L. DE C.V.",2019-06-28,ORGANISMO DE CUENCA PACÍFICO NORTE
810272,AGR͍COLA,ALEJANDRO ZENDEJAS HERNANDEZ,2020-08-28,DIRECCIÓN LOCAL QUERÉTARO
810273,AGR͍COLA,HUGO MARQUEZ MARQUEZ,2020-02-06,DIRECCIÓN LOCAL MICHOACÁN
810275,DOMÉSTICO,SEFERINO ISLAS ANGON,2020-06-02,DIRECCIÓN LOCAL CAMPECHE
810276,AGR͍COLA,PEDRO LOSOYA VAZQUEZ,2020-02-06,DIRECCIÓN LOCAL MICHOACÁN
810278,AGR͍COLA,CESAR HERNANDEZ ORTIZ,2020-11-30,DIRECCIÓN LOCAL ZACATECAS
810279,AGR͍COLA,"ADAN HIDALGO MEJIA, JOEL HIDALGO MEJIA, RUBEN HIDALGO MEJIA",2020-03-30,ORGANISMO DE CUENCA BALSAS
810280,PÚBLICO URBANO,MUNICIPIO DE ATLACOMULCO,2020-03-17,DIRECCIÓN LOCAL ESTADO DE MÉXICO
810281,SERVICIOS,"COMITE DE AGUA POTABLE LA MAGDALENA PANOAYA, A.C.",2019-07-03,ORGANISMO DE CUENCA AGUAS DEL VALLE DE MÉXICO
810282,DIFERENTES USOS,GUADALUPE PERALTA NAVA,2020-06-30,DIRECCIÓN LOCAL CAMPECHE
810283,AGR͍COLA,OSCAR RAUL VILLAR OCHOA,2020-09-03,ORGANISMO DE CUENCA FRONTERA SUR
810285,SERVICIOS,GREEN TEAM PROCESADOR DE PRODUCTOS ECOLOGICOS S.A. DE C.V.,2020-10-28,DIRECCIÓN LOCAL COLIMA
810286,DIFERENTES USOS,RAMON MORALES PEREZ,2020-02-06,DIRECCIÓN LOCAL MICHOACÁN
810287,PECUARIO,MARIA AGUILAR RODRIGUEZ,2020-03-20,DIRECCIÓN LOCAL COLIMA
810289,AGR͍COLA,CESAR MENDOZA HERNANDEZ,2019-10-16,DIRECCIÓN LOCAL CHIHUAHUA
810290,AGR͍COLA,MARIANO RODRIGUEZ PALACIOS,2020-10-13,DIRECCIÓN LOCAL COLIMA
810292,AGR͍COLA,TERESITA DE JESUS RAMOS BAEZA,2021-04-08,DIRECCIÓN LOCAL CHIHUAHUA
810294,AGR͍COLA,JACOB HIEBERT BRAUN,2020-02-19,DIRECCIÓN LOCAL CHIHUAHUA
810297,AGR͍COLA,"LAUREANO ORTEGA MORALES, ANTONIA ORTEGA MORALES, TOMASA ORTEGA MORALES, EDGARDO DE JESUS ORTEGA BALBOA",2019-06-07,DIRECCIÓN LOCAL MICHOACÁN
810299,AGR͍COLA,ALBERTO MARTINEZ CASTAÑEDA,2020-08-28,DIRECCIÓN LOCAL MICHOACÁN
810300,AGR͍COLA,MA. TERESITA MACIAS RODRIGUEZ,2019-09-30,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810301,AGR͍COLA,SARA FEHR NEUDORF,2020-02-18,DIRECCIÓN LOCAL CHIHUAHUA
810304,DIFERENTES USOS,JUAN VICENTE GUEVARA PELAYO,2020-10-28,DIRECCIÓN LOCAL COLIMA
810305,AGR͍COLA,ANNA BLATZ LOEWEN,2019-11-14,DIRECCIÓN LOCAL CHIHUAHUA
810307,AGR͍COLA,FRANCISCO TEICHROEB FROESE,2021-09-17,DIRECCIÓN LOCAL CHIHUAHUA
810308,AGR͍COLA,EVA LOEWEN THIESSEN,2021-05-18,DIRECCIÓN LOCAL CHIHUAHUA
810311,AGR͍COLA,RAFAEL GARZA CASTILLON VALLINA,2019-10-04,DIRECCIÓN LOCAL CHIHUAHUA
810312,DIFERENTES USOS,NANCY BELINDA LOPEZ SROOR,2019-05-20,DIRECCIÓN LOCAL CHIHUAHUA
810313,AGR͍COLA,AMY TEICHROEB LOEWEN,2020-01-15,DIRECCIÓN LOCAL CHIHUAHUA
810314,AGR͍COLA,GERHARD FRIESSEN ENNS,2019-08-14,DIRECCIÓN LOCAL CHIHUAHUA
810316,AGR͍COLA,JUAN IZAGUIRRE NUÑEZ,2019-10-24,DIRECCIÓN LOCAL CHIHUAHUA
810320,AGR͍COLA,SALVADOR PETRIZ GARCIA,2020-11-09,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810322,SERVICIOS,SERGIO ZERMEÑO OCHOA,2019-09-20,DIRECCIÓN LOCAL ESTADO DE MÉXICO
810323,AGR͍COLA,PEDRO WALL KRAHN,2020-01-15,DIRECCIÓN LOCAL CHIHUAHUA
810326,AGR͍COLA,JAIME LUIS GUTIERREZ TALAMAS,2019-09-12,ORGANISMO DE CUENCA RÍO BRAVO
810329,AGR͍COLA,JOSE EFREN BECERRA ALLEN,2019-06-25,DIRECCIÓN LOCAL CHIHUAHUA
810334,INDUSTRIAL,CATERPILLAR INDUSTRIAS MEXICO S. DE R.L. DE C.V.,2019-08-30,ORGANISMO DE CUENCA RÍO BRAVO
810338,PECUARIO,ELI VAZQUEZ VEGA,2019-06-26,DIRECCIÓN LOCAL ZACATECAS
810339,AGR͍COLA,EZZIO DEL PINO GONZALEZ,2019-10-31,ORGANISMO DE CUENCA FRONTERA SUR
810340,AGR͍COLA,RAMON VILLAGRAN SOLIS,2019-06-07,DIRECCIÓN LOCAL CHIHUAHUA
810341,AGR͍COLA,CORPORATIVO NOGALEANA S.A. DE C.V.,2021-06-17,DIRECCIÓN LOCAL CHIHUAHUA
810342,SERVICIOS,JOSE ELIAS FAJER FARAON,2020-02-20,ORGANISMO DE CUENCA RÍO BRAVO
810345,DIFERENTES USOS,MAVI PATRICIA LOPEZ SROOR,2019-10-08,DIRECCIÓN LOCAL CHIHUAHUA
810346,AGR͍COLA,RAFAEL GARZA CASTILLON VALLINA,2019-05-20,DIRECCIÓN LOCAL CHIHUAHUA
810347,AGR͍COLA,BERNHARD GIESBRECHT FROESSE,2019-05-20,DIRECCIÓN LOCAL CHIHUAHUA
810348,AGR͍COLA,"DESARROLLOS INMOBILIARIOS CAMPOS ELISEOS DE MEXICO, S.A. DE C.V.",2019-09-09,ORGANISMO DE CUENCA PENÍNSULA DE BAJA CALIFORNIA
810349,AGR͍COLA,JOSE MONTES LIGHTBOURN,2020-03-06,DIRECCIÓN LOCAL CHIHUAHUA
810350,AGR͍COLA,SANDRA MARINA ADAME CHAVARRIA,2020-05-28,DIRECCIÓN LOCAL CHIHUAHUA
810351,AGR͍COLA,EVARISTO ROJO URANGA,2019-07-18,DIRECCIÓN LOCAL CHIHUAHUA
810352,AGR͍COLA,"GRUPO NOGALERO LA GLORIA, S.P.R. DE R.I. DE C.V.",2019-07-30,DIRECCIÓN LOCAL CHIHUAHUA
810355,DIFERENTES USOS,DARIO MARTINEZ MURO,2019-06-26,DIRECCIÓN LOCAL ZACATECAS
810357,DOMÉSTICO,RICARDO ROCHA HERNANDEZ,2019-06-20,DIRECCIÓN LOCAL CHIHUAHUA
810358,AGR͍COLA,DAVID PETERS KROEKER,2019-06-12,DIRECCIÓN LOCAL ZACATECAS
810360,DIFERENTES USOS,JOSE DE JESUS MADERA CABRAL,2021-01-19,DIRECCIÓN LOCAL ZACATECAS
810366,AGR͍COLA,IRENE SOLIS RASCON,2020-02-12,DIRECCIÓN LOCAL CHIHUAHUA
810368,AGR͍COLA,TORRES BOQUILLA S.P.R. DE R.L. DE C.V.,2020-10-22,DIRECCIÓN LOCAL CHIHUAHUA
810369,AGR͍COLA,TORRES BOQUILLA S.P.R. DE R.L. DE C.V.,2020-09-02,DIRECCIÓN LOCAL CHIHUAHUA
810370,AGR͍COLA,JAVIER GARCIA PEDRAZA,2020-10-13,DIRECCIÓN LOCAL COLIMA
810371,AGR͍COLA,SERGIO ORTEGA CEBALLOS,2020-02-14,DIRECCIÓN LOCAL COLIMA
810373,AGR͍COLA,AGRIPINA CORTES VIORATO,2020-10-15,DIRECCIÓN LOCAL COLIMA
810374,AGR͍COLA,HUMBERTO RAMIREZ HERNANDEZ,2020-10-23,DIRECCIÓN LOCAL COLIMA
810381,AGR͍COLA,JOSE SAUL AGUIRRE MIRANDA,2019-06-20,DIRECCIÓN LOCAL CHIHUAHUA
810383,AGR͍COLA,ABRAHAM BLATZ ENNS,2021-09-15,DIRECCIÓN LOCAL CHIHUAHUA
810385,ACUACULTURA,"SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA PESCADORES AUTENTICOS DEL JITZAMURI, S.C. DE R.L.",2019-06-25,ORGANISMO DE CUENCA PACÍFICO NORTE
810386,AGR͍COLA,MARIA RODRIGUEZ CENICEROS,2019-10-10,DIRECCIÓN LOCAL CHIHUAHUA
810387,DIFERENTES USOS,MARIO VARGAS FIGUEROA,2020-04-28,DIRECCIÓN LOCAL COLIMA
810388,AGR͍COLA,JUAN JOSE MENDEZ DE LARA,2019-11-05,DIRECCIÓN LOCAL ZACATECAS
810391,AGR͍COLA,MATEO BAÑUELOS MOLINAR,2021-09-13,DIRECCIÓN LOCAL ZACATECAS
810394,AGR͍COLA,"PRODUCTORES MACHO MUERTO 4, S. DE P.R. DE R.L.",2020-09-09,DIRECCIÓN LOCAL MICHOACÁN
810399,AGR͍COLA,MOISES BAÑUELOS ROBLES,2019-06-26,DIRECCIÓN LOCAL ZACATECAS
810403,INDUSTRIAL,ALEJANDRO ORTIZ GONZALEZ,2020-09-11,DIRECCIÓN LOCAL MICHOACÁN
810404,AGR͍COLA,JOSE MANUEL ORTEGA AGUIRRE,2019-10-09,DIRECCIÓN LOCAL CHIHUAHUA
810410,AGR͍COLA,ERNEST FEHR HILDEBRAND,2019-10-08,DIRECCIÓN LOCAL CHIHUAHUA
810418,AGR͍COLA,JERRY WIENS BERGEN,2019-10-15,DIRECCIÓN LOCAL CHIHUAHUA
810422,AGR͍COLA,JESUS GUSTAVO MIRANDA MUÑOZ,2020-11-10,DIRECCIÓN LOCAL ZACATECAS
810425,DOMÉSTICO,LORENZO ERNESTO ROJON ESPINOSA,2019-06-27,ORGANISMO DE CUENCA PENÍNSULA DE YUCATÁN
810428,DIFERENTES USOS,SELMY FELIPA CASTRO MAY,2020-04-10,ORGANISMO DE CUENCA PENÍNSULA DE YUCATÁN
810431,AGR͍COLA,JOSE MATIAS RODRIGUEZ PALACIOS,2020-10-14,DIRECCIÓN LOCAL COLIMA
810432,AGR͍COLA,JOSE MAGAÑA FIGUEROA,2020-10-26,DIRECCIÓN LOCAL COLIMA
810433,AGR͍COLA,"CARLOS HAU UCAN, GASPAR HAU UCAN",2020-10-08,ORGANISMO DE CUENCA PENÍNSULA DE YUCATÁN
810435,AGR͍COLA,CORNELIO FEHR BERG,2019-06-20,DIRECCIÓN LOCAL CHIHUAHUA
810436,PÚBLICO URBANO,MUNICIPIO DE TEMOAYA,2021-09-13,DIRECCIÓN LOCAL ESTADO DE MÉXICO
810439,SERVICIOS,"IMPULSO EDUCATIVO Y SOCIAL, A.C.",2021-06-08,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810441,DIFERENTES USOS,RAFAEL CARDENAS MONTAÑO,2021-04-23,DIRECCIÓN LOCAL COLIMA
810443,PECUARIO,RAMON VERDUZCO CORTEZ,2020-04-24,DIRECCIÓN LOCAL COLIMA
810444,AGR͍COLA,TOBIAS ZAMORA MIRANDA,2019-07-04,DIRECCIÓN LOCAL ZACATECAS
810445,AGR͍COLA,PEÑA TUEME S.P.R. DE R.L. DE C.V.,2020-05-25,DIRECCIÓN LOCAL CHIHUAHUA
810448,AGR͍COLA,NOLBERTO ACOSTA RODRIGUEZ,2021-06-02,DIRECCIÓN LOCAL CHIHUAHUA
810449,AGR͍COLA,JESUS ALAN QUINTANA PACHECO,2020-05-05,DIRECCIÓN LOCAL CHIHUAHUA
810453,AGR͍COLA,EVARISTO ROJO URANGA,2020-08-07,DIRECCIÓN LOCAL CHIHUAHUA
810454,AGR͍COLA,MARIA ANTONIA DUEÑAS CASTRO,2021-03-02,DIRECCIÓN LOCAL ZACATECAS
810459,AGR͍COLA,BERNHARD FRIESEN ENNS,2019-06-25,DIRECCIÓN LOCAL CHIHUAHUA
810460,AGR͍COLA,HERMAN HARMS PETERS,2020-08-04,DIRECCIÓN LOCAL CHIHUAHUA
810462,AGR͍COLA,PARQUE AGROINDUSTRIAL ACTIVA SAPI DE CV,2019-06-03,ORGANISMO DE CUENCA GOLFO NORTE
810464,AGR͍COLA,JULIETA DYCK SCHELEMBERG,2019-09-19,DIRECCIÓN LOCAL CHIHUAHUA
810465,AGR͍COLA,ALFREDO GERARDO LUGO GONZALEZ,2020-06-19,DIRECCIÓN LOCAL CHIHUAHUA
810468,PECUARIO,ARTURO SILVA GONZALEZ,2021-07-28,DIRECCIÓN LOCAL ZACATECAS
810470,AGR͍COLA,OTILIO TOVAR PRIETO,2021-03-01,DIRECCIÓN LOCAL ZACATECAS
810471,AGR͍COLA,EJIDO JANOS; VIRGINIA MARQUEZ RODRIGUEZ,2021-05-21,DIRECCIÓN LOCAL CHIHUAHUA
810472,AGR͍COLA,JOHAN HIEBERT HIEBERT,2021-08-17,DIRECCIÓN LOCAL ZACATECAS
810477,INDUSTRIAL,"ERNESTO BOSQUES MARTINEZ, JUAN MANUEL BOSQUES MARTINEZ",2019-10-15,ORGANISMO DE CUENCA RÍO BRAVO
810478,PÚBLICO URBANO,"MUNICIPIO DE JIQUIPILAS, CHIAPAS (JOSE MARIA PINO SUAREZ)",2020-04-15,ORGANISMO DE CUENCA FRONTERA SUR
810483,AGR͍COLA,HERIBERTO BONILLA ALVAREZ,2019-06-25,DIRECCIÓN LOCAL CHIHUAHUA
810485,AGR͍COLA,"USA BANANAS, S.A. DE C.V.",2019-12-09,ORGANISMO DE CUENCA FRONTERA SUR
810486,SERVICIOS,CASAS JAVER S.A. DE C.V.,2019-08-05,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810487,AGR͍COLA,AGROPECUARIA HEISA SOCIEDAD DE PRODUCCION RURAL DE RESPONSABILIDAD LIMITADA DE CAPITAL VARIABLE,2019-10-28,DIRECCIÓN LOCAL CHIHUAHUA
810491,AGR͍COLA,"EL INFIERNILLO, A.C.",2019-09-27,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810500,AGR͍COLA,JACOB PETERS DYCK,2020-12-16,DIRECCIÓN LOCAL CHIHUAHUA
810504,AGR͍COLA,PETER PETERS WIEBE,2019-08-20,DIRECCIÓN LOCAL CHIHUAHUA
810505,AGR͍COLA,JUANA HERRERA TRINIDAD,2020-11-13,DIRECCIÓN LOCAL ZACATECAS
810510,PÚBLICO URBANO,MUNICIPIO DE MELCHOR OCAMPO ZAC,2020-10-13,DIRECCIÓN LOCAL ZACATECAS
810515,INDUSTRIAL,LACTEOS MENONITAS DE CHIHUAHUA S.A. DE C.V.,2020-06-02,DIRECCIÓN LOCAL CHIHUAHUA
810516,AGR͍COLA,JAIME FRANCISCO GUZMAN VALLE,2021-01-07,DIRECCIÓN LOCAL ZACATECAS
810517,AGR͍COLA,ALFONSO GONZALEZ SALCEDO,2020-04-30,DIRECCIÓN LOCAL ZACATECAS
810523,AGR͍COLA,MA. ELOY ALVARADO LIZARDO,2020-11-18,DIRECCIÓN LOCAL ZACATECAS
810524,AGR͍COLA,SALVADOR LOPEZ BECERRA,2020-09-08,DIRECCIÓN LOCAL MICHOACÁN
810525,AGR͍COLA,EMETERIA ALVIDREZ RODRIGUEZ,2020-01-15,DIRECCIÓN LOCAL CHIHUAHUA
810527,SERVICIOS,JAVIER CAMACHO FUERTE,2020-06-04,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
810528,AGR͍COLA,GILBERTO CARREON REA,2020-06-04,ORGANISMO DE CUENCA LERMA SANTIAGO PACÍFICO
