NÚMERO DE ANEXO,TIPO DE DESCARGA,CUERPO RECEPTOR,PROCEDENCIA,AFLUENTE AL QUE SE DESCARGA,CLAVE DE MUNICIPIO,ESTADO,CLAVE DE CUENCA HIDROLÓGICA,FORMA DE DESCARGAR,LONGITUD,LATITUD
35,SIN DATO,EMBALSES NATURALES Y ARTIFICIALES,SIN DATO,SIN DATO,3,1,204,SIN DATO,-102.78113888888889,102.78113888888889
36,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,194,SIN DATO,-102.32433333333333,102.32433333333333
37,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,194,SIN DATO,-102.3247225,102.3247225
38,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,194,SIN DATO,-102.28722277777777,102.28722277777777
39,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.32800027777778,102.32800027777778
40,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.323695,102.323695
41,SIN DATO,SUELO,SIN DATO,SIN DATO,4,1,189,SIN DATO,-102.29136166666666,102.29136166666666
42,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,194,SIN DATO,-102.29847277777777,102.29847277777777
43,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.27816694444445,102.27816694444445
44,SIN DATO,SUELO,SIN DATO,SIN DATO,10,1,194,SIN DATO,-102.16041722222222,102.16041722222222
45,SIN DATO,RIO,SIN DATO,SIN DATO,11,1,191,SIN DATO,-102.24902833333333,102.24902833333333
46,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.34180583333332,102.34180583333332
47,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.34141722222222,102.34141722222222
48,SIN DATO,SUELO,SIN DATO,SIN DATO,11,1,191,SIN DATO,-102.27458388888888,102.27458388888888
49,SIN DATO,RIO,SIN DATO,SIN DATO,11,1,191,SIN DATO,-102.28366722222222,102.28366722222222
50,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.34101444444444,102.34101444444444
51,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.34119472222221,102.34119472222221
52,SIN DATO,SUELO,SIN DATO,SIN DATO,11,1,191,SIN DATO,-102.27194472222222,102.27194472222222
53,SIN DATO,RIO,SIN DATO,SIN DATO,11,1,191,SIN DATO,-102.25858444444444,102.25858444444444
54,SIN DATO,SUELO,SIN DATO,SIN DATO,11,1,191,SIN DATO,-102.25802805555556,102.25802805555556
55,SIN DATO,SUELO,SIN DATO,SIN DATO,11,1,191,SIN DATO,-102.25555583333333,102.25555583333333
56,SIN DATO,EMBALSES NATURALES Y ARTIFICIALES,SIN DATO,SIN DATO,2,1,191,SIN DATO,-102.02388944444445,102.02388944444445
57,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.37019472222221,102.37019472222221
58,SIN DATO,SUELO,SIN DATO,SIN DATO,6,1,189,SIN DATO,-102.27661694444444,102.27661694444444
59,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,194,SIN DATO,-102.29455583333333,102.29455583333333
60,SIN DATO,SUELO,SIN DATO,SIN DATO,5,1,191,SIN DATO,-102.35515027777777,102.35515027777777
61,SIN DATO,RIO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.20891694444445,102.20891694444445
62,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,191,SIN DATO,-102.20975027777779,102.20975027777779
63,SIN DATO,SUELO,SIN DATO,SIN DATO,11,1,191,SIN DATO,-102.2633613888889,102.2633613888889
64,SIN DATO,RIO,SIN DATO,SIN DATO,11,1,191,SIN DATO,-102.26591694444444,102.26591694444444
65,SIN DATO,SUELO,SIN DATO,SIN DATO,5,1,191,SIN DATO,-102.33583333333333,102.33583333333333
66,SIN DATO,RIO,SIN DATO,SIN DATO,5,1,191,SIN DATO,-102.33555555555554,102.33555555555554
67,SIN DATO,SUELO,SIN DATO,SIN DATO,9,1,189,SIN DATO,-102.20930611111112,102.20930611111112
68,SIN DATO,SUELO,SIN DATO,SIN DATO,9,1,189,SIN DATO,-102.18094500000001,102.18094500000001
69,SIN DATO,SUELO,SIN DATO,SIN DATO,9,1,189,SIN DATO,-102.18477805555555,102.18477805555555
70,SIN DATO,SUELO,SIN DATO,SIN DATO,3,1,204,SIN DATO,-102.68155583333333,102.68155583333333
71,SIN DATO,SUELO,SIN DATO,SIN DATO,1,1,194,SIN DATO,-102.28999999999999,102.28999999999999
72,SIN DATO,SUELO,SIN DATO,SIN DATO,5,1,191,SIN DATO,-102.27472277777778,102.27472277777778
73,SIN DATO,RIO,SIN DATO,SIN DATO,5,1,191,SIN DATO,-102.29233333333333,102.29233333333333
74,SERVICIOS,"TERRENOS CON AREAS VERDES,RIO MORCINIQUE",SERVICIOS DOMESTICOS,RIO SAN PEDRO,1,1,0,INFILTRACION Y LIBRE CON TUBERIA,-102.33083333333333,102.33083333333333
75,INDUSTRIAL Y SERVICIOS,TERRENOS AGRICOLAS,PROCESO INDUSTRIAL Y SERVICIOS SANITARIOS,RIO SAN PEDRO,9,1,0,INFILTRACION SUPERFICIAL,-102.27444444444444,102.27444444444444
76,SERVICIOS,FOSA DE ABSORCION,SERVICIOS SANITARIOS Y COCINA,RIO SAN PEDRO,5,1,0,POZO DE ABSORCION,-102.40777777777778,102.40777777777778
77,INDUSTRIAL (SERVICIOS),FOSA DE ABSORCION,SERVICIOS SANITARIOS,RIO SAN PEDRO,5,1,0,POZO DE ABSORCION,-102.34166666666667,102.34166666666667
78,SERVICIOS,FOSA DE ABSORCION,SERVICIOS SANITARIOS,RIO ALTO SANTIAGO,1,1,0,INFILTRACION SUPERFICIAL,-102.29166666666667,102.29166666666667
79,INDUSTRIAL,RIO CHICALOTE,PROCESO INDUSTRIAL Y SERVICIOS,RIO SAN PEDRO,5,1,0,LIBRE CON TUBERIA,-102.30555555555556,102.30555555555556
80,INDUSTRIAL Y SERVICIOS,TERRENOS CON AREAS VERDES,PROCESO INDUSTRIAL Y SERVICIOS,RIO SAN PEDRO,5,1,0,INFILTRACION SUPERFICIAL,-102.28944444444444,102.28944444444444
81,SERVICIOS,ARROYO SIN NOMBRE,SERVICIOS SANITAROS,RIO SAN PEDRO,1,1,0,LIBRE CON TUBERIA,-102.28999999999999,102.28999999999999
82,SERVICIOS,POZO ABSORCION,SERVICIOS SANITARIOS,RIO SAN PEDRO,1,1,0,ABSORCION,-102.28999999999999,102.28999999999999
83,SERVICIOS,ARROYO LAS VIBORAS,SERVICIOS SANITARIOS,RIO SAN PEDRO,1,1,0,LIBRE CON TUBERIA,-102.36,102.36
84,INDUSTRIAL Y DE SERVICIOS,TERRENOS CON AREAS VERDES,PROCESO INDUSTRIAL Y DE SERVICIOS,RIO SAN PEDRO,1,1,0,INFILTRACION SUPERFICIAL,-102.30138888888888,102.30138888888888
85,INDUSTRIAL Y SERVICIOS,RIO CHICALOTE,PROCESO INDUSTRIAL Y SERVICIOS,RIO SAN PEDRO,1,1,0,LIBRE CON TUBERIA,-102.28805555555556,102.28805555555556
86,INDUSTRIAL Y SERVICIOS,INFILTRACION SUPERFICIAL TERR. PROPIOS,PROC. INDUSTRIAL Y SERV. SANITARIOS,RIO VERDE,7,1,0,LIBRE CON TUBERIA,-102.28555555555555,102.28555555555555
87,SERVICIOS,CANAL SIN NOMBRE,SERVICIOS Y LAVADO DE INSTALACIONES,RIO SANTIAGO,1,1,0,LIBRE CON TUBERIA,-102.35555555555555,102.35555555555555
88,SERVICIOS,TERRENOS PROPIOS,"SERVICIOS SANITARIOS, REGADERAS Y DOMEST",RIO SANTIAGO,1,1,0,LIBRE CON TUBERIA,-102.27277777777778,102.27277777777778
89,SERVICIOS,TERRENOS PROPIOS,"SERVICOS SANITARIOS, REGADERAS Y DOMESTI",RIO SANTIAGO,1,1,0,LIBRE CON TUBERIA,-102.285,102.285
90,SERV ICIOS,TERRENOS PROPIOS,"SERVICIOS SANITARIOS, REGADERAS Y DOMEST",RIO SANTIAGO,1,1,0,LIBRE CON TUBERIA,-102.10749999999999,102.10749999999999
91,SERVICIOS,TERRENOS PROPIOS,"SERVICIOS SANITARIOS, REGADERAS Y DOMEST",RIO SANTIAGO,1,1,0,LIBRE CON TUBERIA,-102.08222222222221,102.08222222222221
92,SERVICIOS,TERRENOS PROPIOS,"SERVICIOS SANTARIOS, REGADERAS Y DOMEST",RIO SANTIAGO,1,1,0,LIBRE CON TUBERIA,-102.285,102.285
93,SERVICIOS,TERRENOS CON AREAS VERDES,SERVICIOS SANITARIOS,RIO SAN PEDRO,1,1,0,INFILTRACION SUPERFICIAL,-102.29444444444444,102.29444444444444
94,INDUSTRIAL,AREAS VERDES MUNICIPALES,PROCESO INDUSTRIAL DE LAVANDERIA,RIO SAN PEDRO,5,1,0,INFILTRACION,-102.28583333333333,102.28583333333333
95,SERVICIOS,TERRENOS DE LA EMPRESA,SERVICIOS EMPLEADOS,RIO SAN PEDRO,8,1,0,INFILTRACION AL SUBSUELO,-102.30916666666667,102.30916666666667
96,INDUSTRIAL Y SERVICIOS,TERRENOS CON AREAS VERDES,PROCESO DE MATANZA DE AVES Y EMPACADO,RIO SAN PEDRO,5,1,0,INFILTRACION,-102.28388888888888,102.28388888888888
97,INDUSTRIAL Y SERVICIOS,RIO CHICALOTE,PROCESOS INDUSTRIALES DIVERSOS Y SERVICIOS,RIO SAN PEDRO,5,1,0,LIBRE CON TUBERIA,-102.27027777777778,102.27027777777778
98,INDUSTRIAL Y SERVICIOS,TERRENOS AGRICOLAS,PROCESO INDUSTRIAL Y SERVICIOS,rio san pedro,5,1,0,INFILTRACION SUPERFICIAL,-102.29777777777778,102.29777777777778
99,SERVICIOS,ARROYO EL MOLINO,SERVICIOS SANITARIOS,RIO SAN PEDRO,1,1,0,LIBRE CON TUBERIA,-102.29833333333333,102.29833333333333
100,SIN DATO,RIO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.20922250000001,115.20922250000001
101,SIN DATO,EMBALSES NATURALES Y ARTIFICIALES,SIN DATO,SIN DATO,1,2,6,SIN DATO,-116.58055555555555,116.58055555555555
102,SIN DATO,SUELO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.21018638888889,115.21018638888889
103,SIN DATO,SUELO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.07245305555556,115.07245305555556
104,SIN DATO,SUELO,SIN DATO,SIN DATO,3,2,1,SIN DATO,-116.62777944444444,116.62777944444444
105,SIN DATO,SUELO,SIN DATO,SIN DATO,4,2,1,SIN DATO,-116.8781836111111,116.8781836111111
106,SIN DATO,SUELO,SIN DATO,SIN DATO,5,2,2,SIN DATO,-117.04322472222222,117.04322472222222
107,SIN DATO,SUELO,SIN DATO,SIN DATO,1,2,4,SIN DATO,-116.62334166666666,116.62334166666666
108,SIN DATO,SUELO,SIN DATO,SIN DATO,5,2,2,SIN DATO,-117.05833388888888,117.05833388888888
109,SIN DATO,SUELO,SIN DATO,SIN DATO,3,2,1,SIN DATO,-116.62350027777777,116.62350027777777
110,SIN DATO,RIO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.07830583333333,115.07830583333333
111,SIN DATO,SUELO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-114.84754249999999,114.84754249999999
112,SIN DATO,RIO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.30604472222223,115.30604472222223
113,SIN DATO,SUELO,SIN DATO,SIN DATO,4,2,1,SIN DATO,-116.94599222222223,116.94599222222223
114,SIN DATO,SUELO,SIN DATO,SIN DATO,4,2,1,SIN DATO,-116.97081194444445,116.97081194444445
115,SIN DATO,SUELO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.5072713888889,115.5072713888889
116,SIN DATO,SUELO,SIN DATO,SIN DATO,1,2,3,SIN DATO,-116.60281555555555,116.60281555555555
117,SIN DATO,SUELO,SIN DATO,SIN DATO,1,2,3,SIN DATO,-116.54036138888888,116.54036138888888
118,SIN DATO,SUELO,SIN DATO,SIN DATO,1,2,3,SIN DATO,-116.87726166666666,116.87726166666666
119,SIN DATO,RIO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.55550027777778,115.55550027777778
120,SIN DATO,SUELO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.42994472222223,115.42994472222223
121,SIN DATO,SUELO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.42961194444445,115.42961194444445
122,SIN DATO,SUELO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.42750000000001,115.42750000000001
123,SIN DATO,RIO,SIN DATO,SIN DATO,3,2,1,SIN DATO,-116.531445,116.531445
124,SIN DATO,SUELO,SIN DATO,SIN DATO,1,2,3,SIN DATO,-116.52761138888889,116.52761138888889
125,SIN DATO,SUELO,SIN DATO,SIN DATO,1,2,5,SIN DATO,-116.60138944444444,116.60138944444444
126,SIN DATO,SUELO,SIN DATO,SIN DATO,5,2,2,SIN DATO,-116.8849725,116.8849725
127,SIN DATO,SUELO,SIN DATO,SIN DATO,1,2,8,SIN DATO,-116.20727805555556,116.20727805555556
128,SIN DATO,RIO,SIN DATO,SIN DATO,1,2,12,SIN DATO,-116.03672361111111,116.03672361111111
129,SIN DATO,SUELO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.35888916666666,115.35888916666666
130,SIN DATO,SUELO,SIN DATO,SIN DATO,1,2,6,SIN DATO,-116.52683361111112,116.52683361111112
131,SIN DATO,SUELO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.39697361111112,115.39697361111112
132,SIN DATO,SUELO,SIN DATO,SIN DATO,2,2,85,SIN DATO,-115.36000055555554,115.36000055555554
133,SIN DATO,SUELO,SIN DATO,SIN DATO,1,2,4,SIN DATO,-116.59975055555554,116.59975055555554
134,PECUARIA,ARROYO ALAMAR,LAVADO DE UBRES Y AREA DE ORDEÑA,RIO TIJUANA,4,2,0,LIBRE CON TUBERIA,-116.91250000000001,116.91250000000001
135,PECUARIO,ARROYO ALAMAR,LAVADO DE UBRES Y AREA DE ORDEÑA,RIO TIJUANA,4,2,0,LIBRE CON TUBERIA,-116.94277777777778,116.94277777777778
136,PECUARIO,ARROYO ALAMAR,LAVADO DE UBRES DE VACA Y AREA DE ORDEÑA,RIO TIJUANA,4,2,0,LIBRE CON TUBERIA,-116.90666666666667,116.90666666666667
137,SERVICIOS,ARROYO CUATRO MILPAS,"LIMPIEZA DE PATIOS, LAVADO AUTOTANQUE, A",OCEANO PACIFICO,1,2,0,LIBRE CON TUBERIA,-116.68333333333334,116.68333333333334
138,PECUARIA,ARROYO EL FLORIDO,LAV. DE UBRES DE VACA Y AREA DE ORDEÑA,ARROYO MATANUCO,4,2,0,LIBRE CON TUBERIA,-116.81388888888888,116.81388888888888
139,PECUARIO,ARROYO SECO,LAV. DE UBRES DE VACA Y AREA DE ORDEÑA,ACEANO PACIFICO,4,2,0,LIBRE CON TUBERIA,-117.01388888888889,117.01388888888889
140,PECUARIO,ARROYO EL FLORIDO,LAVADO DE UBRES Y AREA DE ORDEÑA,ARROYO MATANUCO,4,2,0,LIBRE CON TUBERIA,-116.76222222222222,116.76222222222222
141,PECUARIO,ARROYO EL FLORIDO,LAVADO DE UBRES Y AREA DE ORDEÑA,ARROYO MATANUCO,4,2,0,LIBRE CON TUBERIA,-116.80722222222222,116.80722222222222
142,INDUSTRIAL,ARROYO SECO,PROCESO DE PRODUCCION,NO APLICABLE,4,2,0,INTERMITENTE,-117.01944444444445,117.01944444444445
143,SERVICIOS,ARROYO SECO,SANITARIOS,NO APLICABLE,4,2,0,INTERMITENTE,-117.01972222222223,117.01972222222223
144,SERVICIOS,FOSA SEPTICA,SANITARIOS (CASA HABITACION),NO APLICABLE,2,2,0,INTERMITENTE,-115.32222222222222,115.32222222222222
145,SERVICIOS,FOSA SEPTICA,RESTAURANT (SANITARIOS),NO APLICABLE,2,2,0,INTERMITENTE,-115.32194444444444,115.32194444444444
146,SERVICIOS,FOSA SEPTICA,RESTAURANT (COCINA),NO APLICABLE,2,2,0,INTERMITENTE,-115.32166666666666,115.32166666666666
147,SERVICIOS,OCEANO PACIFICO (PLAYAS DE ROSARITO),"SERVICIOS SANITARIOS, LAVANDERIA,Y SERV.GENERALES.",NO APLICABLE,5,2,0,PERMANENTE,-117.08222222222221,117.08222222222221
148,SERVICIOS,SUBSUELO (POZO DE ABSORCION),"SANITARIOS, LAVABOS, BAÑOS Y LAVANDERIA",NO APLICABLE,1,2,0,INTERMITENTE,-116.67916666666667,116.67916666666667
149,SERVICIOS,DREN MEXICALI (DREN AGRÍCOLA),SERVICIOS DE HOTEL,RÍO NUEVO,2,2,0,LIBRE CON TUBERÍA,-115.37916666666666,115.37916666666666
150,SERVICIOS,SUBSUELO (FOSA DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-115.97025000000001,115.97025000000001
151,SERVICIOS Y PECUARIO,DREN RAMAL 13+070 DEL MEXICALI,ESTABLO Y SERVICIOS SANITARIO,DREN MEXICALI (RIO NUEVO),2,2,0,INTERMITENTE,-115.35694444444444,115.35694444444444
152,SERVICIOS,ACUIFERO ENSENADA,SANITARIOS,ACUIFERO ENSENADA,1,2,0,INTERMITENTE,-116.59777777777778,116.59777777777778
153,SERVICIOS,SUBSUELO (POZO DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-116.59916666666666,116.59916666666666
154,SERVICIOS,SUBSUELO (POZO DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-116.59972222222221,116.59972222222221
155,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90527777777778,116.90527777777778
156,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90555555555557,116.90555555555557
157,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90555555555557,116.90555555555557
158,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.9055,116.9055
159,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90547222222223,116.90547222222223
160,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90472222222223,116.90472222222223
161,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90486111111112,116.90486111111112
162,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90486111111112,116.90486111111112
163,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90494444444445,116.90494444444445
164,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.9051388888889,116.9051388888889
165,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90508333333334,116.90508333333334
166,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90502777777779,116.90502777777779
167,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90505555555556,116.90505555555556
168,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90483333333334,116.90483333333334
169,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90475,116.90475
170,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90483333333334,116.90483333333334
171,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90488888888889,116.90488888888889
172,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.905,116.905
173,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.905,116.905
174,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.905,116.905
175,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.905,116.905
176,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90505555555556,116.90505555555556
177,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90508333333334,116.90508333333334
178,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90466666666667,116.90466666666667
179,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90458333333333,116.90458333333333
180,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90480555555555,116.90480555555555
181,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90502777777779,116.90502777777779
182,SERVICIOS,SUBSUELO,SANITARIOS,ARROYO EL DESCANSO,5,2,0,INTERMITENTES,-116.90502777777779,116.90502777777779
183,SERVICIOS,SUSBSUELO,SANITARIOS,RIO TECATE,3,2,0,INTERMITENTE,-116.68333333333334,116.68333333333334
184,INDUSTRIAL,RIO TECATE,PROCESO INDUSTRIAL,RIO TECATE,3,2,0,INTERMITENTE,-116.6888888888889,116.6888888888889
185,SERVICIOS,SUBSUELO (FOSA SEPTICA),SERVICIOS SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTES,-116.5976111111111,116.5976111111111
186,SERVICIOS,ARROYO EL CARRIZO,LAVADO DE UBRES Y LIMPIEZA DE SALA DE ORDEÑA,ARROYO EL CARRIZO,4,2,0,INTERMITENTE,-116.7611111111111,116.7611111111111
187,SERVICIOS,SUBSUELO (POZO DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-116.59388888888888,116.59388888888888
188,SERVICIOS,SUBSUELO (POZO DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-116.51722222222222,116.51722222222222
189,SERVICIOS,SUBSUELO (POZO DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-116.38277777777778,116.38277777777778
190,SERVICIOS,SUBSUELO (POZO DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-116.12888888888888,116.12888888888888
191,SERVICIOS,SUBSUELO (POZO DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-116.05888888888889,116.05888888888889
192,SERVICIOS,SUBSUELO (POZO DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-115.99444444444444,115.99444444444444
193,SERVICIOS,SUBSUELO (POZO DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-115.9888888888889,115.9888888888889
194,SERVICIOS,SUBSUELO (POZO DE ABSORCION),SANITARIOS,NO APLICABLE,1,2,0,INTERMITENTE,-115.99722222222222,115.99722222222222
